kpi_tags,kpi_name,kpi_id,kpi_category
"geographic,  revenues,  otherasia,  revenues, tpr, tapestry, apparel retailers",Geographic Revenues - Other Asia Revenues,190,Geographic Revenues
"geographic,  revenues,  other,  revenues, tpr, tapestry, apparel retailers",Geographic Revenues - Other Revenues,191,Geographic Revenues
"geographic,  revenues,  total, tpr, tapestry, apparel retailers",Geographic Revenues - Total,192,Geographic Revenues
"segment,  revenues,  coach,  revenues, tpr, tapestry, apparel retailers",Segment Revenues - Coach Revenues,193,Segment Revenues
"segment,  revenues,  katespade,  revenues, tpr, tapestry, apparel retailers",Segment Revenues - Kate Spade Revenues,194,Segment Revenues
"segment,  revenues,  stuartweitzman,  revenues, tpr, tapestry, apparel retailers",Segment Revenues - Stuart Weitzman Revenues,195,Segment Revenues
"segment,  revenues,  total, tpr, tapestry, apparel retailers",Segment Revenues - Total,196,Segment Revenues
"net sales,  anthropologiegroup, urbn, urban outfitters, apparel retailers",Net sales by brand - Anthropologie Group,197,Net sales by brand
"net sales,  freepeoplegroup, urbn, urban outfitters, apparel retailers",Net sales by brand - Free People Group,198,Net sales by brand
"net sales,  menus,  venues, urbn, urban outfitters, apparel retailers",Net sales by brand - Menus & Venues,199,Net sales by brand
"net sales,  nuuly, urbn, urban outfitters, apparel retailers",Net sales by brand - Nuuly,200,Net sales by brand
"net sales,  urbanoutfitters, urbn, urban outfitters, apparel retailers",Net sales by brand - Urban Outfitters,201,Net sales by brand
"net sales,  segment,  retailsegment, urbn, urban outfitters, apparel retailers",Net sales by segment - Retail Segment,202,Net sales by segment
"net sales,  segment,  subscriptionsegment, urbn, urban outfitters, apparel retailers",Net sales by segment - Subscription Segment,203,Net sales by segment
"net sales,  segment,  wholesalesegment, urbn, urban outfitters, apparel retailers",Net sales by segment - Wholesale Segment,204,Net sales by segment
"new stores,  opened,  newretaillocations, urbn, urban outfitters, apparel retailers",No. of New Stores Opened - New retail locations,205,No. of New Stores Opened
"stores,  closedfranchiseeowned,  stores, urbn, urban outfitters, apparel retailers",Stores - Closed franchisee-owned stores,206,Stores
"stores,  totalclosedretail,  stores, urbn, urban outfitters, apparel retailers",Stores - Total closed retail stores,207,Stores
"stores,  totalnewretaillocation,  stores, urbn, urban outfitters, apparel retailers",Stores - Total new retail location stores,208,Stores
"stores,  china,  beauty,  accessories, vsco, victoria`s secret & co, apparel retailers",Company-Operated Stores - Greater China - Beauty & Accessories,209,Company-Operated Stores
"stores,  china,  fullassortment, vsco, victoria`s secret & co, apparel retailers",Company-Operated Stores - Greater China - Full Assortment,210,Company-Operated Stores
"stores,  stores,  canada, vsco, victoria`s secret & co, apparel retailers",Company-Operated Stores - Stores in Canada,211,Company-Operated Stores
"stores,  stores,  u.s, vsco, victoria`s secret & co, apparel retailers",Company-Operated Stores - Stores in U.S,212,Company-Operated Stores
"new store,  openings,  company operated,  stores,  china,  beauty,  accessories, vsco, victoria`s secret & co, apparel retailers","New Store Openings - Company-Operated Stores in  Greater China - Beauty & Accessories
",213,New Store Openings
"new store,  openings,  company operated,  stores,  canada, vsco, victoria`s secret & co, apparel retailers",New Store Openings - Company-Operated Stores in Canada ,214,New Store Openings
